city,1,2–5,6–10,>10
Nueva York,0.6606605992432764,0.24125166172410267,0.03740668780038859,0.06068105123223234
Sídney,0.6394904806066226,0.22693797392395396,0.03914134526212427,0.09443020020729911
Milán,0.559109267547211,0.24096714332496452,0.04863006222028163,0.15129352690754286
Londres,0.5117670569426811,0.25638312879108477,0.05868246579207222,0.17316734847416185
Madrid,0.4508614537669487,0.27770414925068815,0.08645121826893669,0.18498317871342645
Tokio,0.11285539856968428,0.28649921507064363,0.21751264608407467,0.3831327402755974
