city_key,city,neighborhood_key,neighborhood,listings,analyzable,activity_sum,activity_mean,latitude,longitude,coverage,activity_per_listing,rank_high,rank_low
madrid,Madrid,madrid:sol,Sol,1125,1125,1391.13,1.23656,40.41707,-3.70428,1.0,1.23656,4.0,96.0
madrid,Madrid,madrid:timón,Timón,59,59,68.23,1.1564406779661018,40.47165,-3.58592,1.0,1.1564406779661018,5.0,95.0
madrid,Madrid,madrid:vallehermoso,Vallehermoso,88,88,22.77,0.25875,40.44113,-3.709105,1.0,0.25875,92.0,8.0
milan,Milán,milan:baggio,BAGGIO,46,46,16.05,0.3489130434782609,45.46132,9.089965,1.0,0.3489130434782609,56.0,9.0
milan,Milán,milan:brera,BRERA,713,713,501.18,0.7029172510518934,45.47565,9.18616,1.0,0.7029172510518934,4.0,61.0
milan,Milán,milan:buenos aires - venezia,BUENOS AIRES - VENEZIA,1373,1373,938.88,0.6838164603058995,45.47758,9.21189,1.0,0.6838164603058995,5.0,60.0
milan,Milán,milan:centrale,CENTRALE,689,689,768.8100000000001,1.115834542815675,45.4865,9.20441,1.0,1.115834542815675,1.0,64.0
milan,Milán,milan:duomo,DUOMO,1003,1003,932.17,0.9293818544366899,45.46213,9.18671,1.0,0.9293818544366899,2.0,63.0
milan,Milán,milan:ex om - morivione,EX OM - MORIVIONE,105,105,23.61,0.22485714285714284,45.43997,9.19573,1.0,0.22485714285714284,64.0,1.0
milan,Milán,milan:giambellino,GIAMBELLINO,321,321,113.38,0.353208722741433,45.45027,9.14842,1.0,0.353208722741433,55.0,10.0
milan,Milán,milan:greco,GRECO,131,131,89.16,0.6806106870229007,45.50263,9.20749,1.0,0.6806106870229007,6.0,59.0
milan,Milán,milan:lorenteggio,LORENTEGGIO,64,64,17.43,0.27234375,45.45515,9.124044999999999,1.0,0.27234375,63.0,2.0
milan,Milán,milan:maciachini - maggiolina,MACIACHINI - MAGGIOLINA,265,265,190.0,0.7169811320754716,45.49734,9.19785,1.0,0.7169811320754716,3.0,62.0
milan,Milán,milan:maggiore - musocco,MAGGIORE - MUSOCCO,66,66,44.410000000000004,0.672878787878788,45.504355000000004,9.123315,1.0,0.672878787878788,8.0,57.0
milan,Milán,milan:navigli,NAVIGLI,875,875,552.34,0.6312457142857143,45.45073,9.17184,1.0,0.6312457142857143,10.0,55.0
milan,Milán,milan:ortomercato,ORTOMERCATO,43,43,14.149999999999999,0.32906976744186045,45.45406,9.22547,1.0,0.32906976744186045,59.0,6.0
milan,Milán,milan:parco forlanini - ortica,PARCO FORLANINI - ORTICA,43,43,14.71,0.342093023255814,45.46965,9.24602,1.0,0.342093023255814,57.0,8.0
milan,Milán,milan:parco lambro - cimiano,PARCO LAMBRO - CIMIANO,160,160,54.46,0.340375,45.492975,9.239145,1.0,0.340375,58.0,7.0
milan,Milán,milan:rogoredo,ROGOREDO,35,35,10.69,0.30542857142857144,45.43451,9.24399,1.0,0.30542857142857144,61.0,4.0
milan,Milán,milan:ronchetto sul naviglio,RONCHETTO SUL NAVIGLIO,96,96,27.56,0.2870833333333333,45.441605,9.142365,1.0,0.2870833333333333,62.0,3.0
milan,Milán,milan:scalo romana,SCALO ROMANA,137,137,43.45,0.31715328467153286,45.44049,9.21015,1.0,0.31715328467153286,60.0,5.0
milan,Milán,milan:selinunte,SELINUNTE,147,147,97.57000000000001,0.6637414965986395,45.47038,9.14092,1.0,0.6637414965986395,9.0,56.0
