city_key,city,listings,hosts,activity_sum,activity_coverage,latitude_median,longitude_median,activity_per_listing,top20_review_share,listing_share_for_80,listings_hosts_gt5,radius_p90_km
london,Londres,85068,53476,78204.23,1.0,51.514015,-0.125725,0.9193143132552781,0.7758929268299247,0.2192011097004749,0.23184981426623408,13.18644355273736
madrid,Madrid,19618,11325,15742.02,1.0,40.419735,-3.70112,0.8024273626261597,0.8197889300262717,0.1871240697318789,0.27143439698236316,6.176338214532197
milan,Milán,18322,12213,10599.3,1.0,45.470875,9.186291,0.5785012553214715,0.843854187518551,0.16608448859294836,0.19992358912782449,4.754893738985486
new_york,Nueva York,48895,37457,53340.04,1.0,40.72307,-73.95568,1.0909099089886491,0.7821854912764004,0.21317108088761633,0.09808773903262093,11.529595117483447
sydney,Sídney,36662,27219,28163.19,0.9966450275489608,-33.88248570014697,151.2159231864547,0.7707706833794028,0.8427360414386221,0.16758496535922754,0.13357154546942338,18.750870448993016
tokyo,Tokio,11466,2954,22148.0,1.0,35.70191,139.729165,1.9316239316239316,0.6612564374914139,0.3142333856619571,0.6006453863596721,12.372391992403221
