city_key,city,top20_review_share,listing_share_for_80
london,Londres,0.7758929268299247,0.2192011097004749
madrid,Madrid,0.8197889300262717,0.1871240697318789
milan,Milán,0.843854187518551,0.16608448859294836
new_york,Nueva York,0.7821854912764004,0.21317108088761633
sydney,Sídney,0.8427360414386221,0.16758496535922754
tokyo,Tokio,0.6612564374914139,0.3142333856619571
