city,1,2–5,6–10,>10
Nueva York,0.8624022212136583,0.1283872173425528,0.006701017166350749,0.002509544277438129
Sídney,0.861346853301003,0.1268231749880598,0.007164113303207318,0.004665858407729894
Milán,0.8387783509375256,0.14484565626791124,0.010153115532629165,0.006222877261934005
Londres,0.8141035230757723,0.16360610367267558,0.012697284763258284,0.009593088488293815
Madrid,0.7810154525386314,0.1862251655629139,0.020132450331125828,0.01262693156732892
Tokio,0.4380501015572106,0.37406905890318215,0.11137440758293839,0.07650643195666892
