id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29037251,Beautiful cozy place in the heart of Zetlands,18184991,Abb,,Sydney,-33.90536024651461,151.21339499819726,Private room,150,2,1,2018-10-07,0.48,1,0
29037657,Castlecrag home with a view,48224835,Christine,,Willoughby,-33.804029886884216,151.21516314673786,Entire home/apt,199,4,1,2018-10-18,0.59,2,11
29037867,The Bondi Suite - 50 meters to the beach!,218687876,Katy,,Waverley,-33.89074446053089,151.2743494920717,Private room,98,2,2,2018-11-01,1.30,1,1
29038228,Dee Why Super Location,5509180,Miguel Angel,,Warringah,-33.74914027760335,151.29196376544724,Private room,100,4,0,,,1,74
29039466,Charming  2 BR with Million Dollar Views -Parking,191299614,Haitao,,Leichhardt,-33.85766256851084,151.19453993294005,Entire home/apt,999,2,6,2018-11-17,3.46,2,106
29040190,Newtown Terrace with old world charm,152636301,Steve & Carrol,,Sydney,-33.89502250756589,151.18557664679412,Entire home/apt,150,2,5,2018-11-29,4.41,1,295
29040246,Lovely Queen Room + 40'' LED TV - Tours Available!,115400110,Penny (Mum) + Ria (Daughter),,Campbelltown,-33.972567115879606,150.9001189181793,Private room,53,1,2,2018-11-15,2,2,351
29040484,Large dbl rm close to shops/restaurants/transport.,159933426,David,,Randwick,-33.91975806426111,151.22713214158182,Private room,60,28,0,,,20,65
29040979,Ideal coastal lifestyle apartment,2406833,Ash,,Warringah,-33.72316350935882,151.29699154848126,Private room,84,2,1,2018-10-24,0.67,1,204
29041171,Funky Urban Loft Apartment near CBD,38478183,Anna,,Sydney,-33.904787112861214,151.20775786165996,Entire home/apt,199,2,5,2018-11-18,3.33,39,174
29041940,The Water's Edge,218872695,Samantha,,Pittwater,-33.615386329506435,151.31732491247374,Entire home/apt,400,1,4,2018-12-02,4,1,76
29042617,Single room close to shops/restaurants/transport.,159933426,David,,Randwick,-33.921091794121075,151.2281506832987,Private room,35,14,0,,,20,44
29043884,Affordable but Comfortable 1 bed APT Near Station,181698992,Aaron,,Sydney,-33.90323076855934,151.20193272699993,Entire home/apt,100,1,6,2018-11-25,3.46,35,92
29045321,Sleek New York Style Loft Apartment,38478183,Anna,,Sydney,-33.90513803329379,151.20745597448496,Entire home/apt,169,2,8,2018-12-01,4.36,39,164
29045987,Maroubra Single Room,79772522,Guillaume,,Randwick,-33.951621659420155,151.24271384007304,Private room,65,5,2,2018-11-23,2,1,70
29046449,Chic & Vintage Apartment next to Darling Harbour,199185428,Clara,,Sydney,-33.87302538592926,151.1980435218073,Entire home/apt,165,2,9,2018-12-04,6.28,5,161
29047067,Penthouse Apartment with Private Balcony,3089810,Selina,,Marrickville,-33.90373186330896,151.1680229188208,Private room,48,2,1,2018-10-07,0.48,1,0
29047108,Large sgl rm close to shops/restaurants/transport.,159933426,David,,Randwick,-33.91975791338266,151.22796994196196,Private room,37,14,0,,,20,52
